n;command;output file;result;time (overall);time (loading ontologies); time (parsing query);time (initial consistency check);time (query execution);time (first run); time (second run);bindings globally excluded by CQ engine (%);bindings checked by BCQ engine per timepoint (%);average bindings checked by BCQ engine per timepoint (%);overall entailed bindings found already by CQ engine (%)
11;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-17.txt;11;4964;653;21;15;4130;1967;2153;99.949634;0.042618,0.039763,0.050366;0.044249;0.000000
12;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-23.txt;12;5689;649;21;17;4853;2119;2669;99.957983;0.035553,0.033171,0.042017;0.036914;0.000000
13;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-30.txt;13;6203;724;20;15;5293;2327;2957;99.964597;0.029956,0.027950,0.035403;0.031103;0.000000
14;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-38.txt;14;6968;709;20;15;6070;2413;3642;99.969900;0.025469,0.023763,0.030100;0.026444;0.000000
15;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-46.txt;15;7646;683;22;19;6765;2474;4280;99.974200;0.021831,0.020368,0.025800;0.022666;0.000000
16;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-55.txt;16;8426;723;21;17;7512;2637;4862;99.977722;0.018851,0.017588,0.022278;0.019572;0.000000
17;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-45-05.txt;17;9148;692;20;17;8269;2770;5485;99.980633;0.016387,0.015289,0.019367;0.017014;0.000000
18;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-45-16.txt;18;10567;704;22;19;9668;2960;6697;99.983060;0.014333,0.016048,0.016940;0.015774;0.000000
19;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-45-28.txt;18;11667;694;23;19;10776;3358;7405;99.985099;0.012608,0.014158,0.014901;0.013889;0.000000
20;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-45-42.txt;18;12850;693;20;18;11963;3466;8481;99.986825;0.011148,0.012551,0.013175;0.012292;0.000000
